Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,34.0,1.0,34.0,34.0,0.1,101.75454271726304,0.0,0.0,0.005414247512817383,,,,,,,,,,,,,,,,,,,,,45.422012365918256,26.59660388974946,88.06352261284646,2.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,73.0,2.0,39.0,73.0,0.1,124.54478903595461,0.0,0.0,4.1362221240997314,,,,,,,,,,,,,,,,,,,,,53.64732252736279,32.257004742658545,105.72628634862062,2.3424769261748906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,114.0,3.0,41.0,114.0,0.1,142.681102975188,0.0,0.0,8.706606149673462,,,,,,,,,,,,,,,,,,,,,64.90076445928175,35.06783876408204,118.42851703589683,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,140.0,4.0,26.0,140.0,0.1,80.8548098910375,0.0,0.0,11.569410800933838,,,,,,,,,,,,,,,,,,,,,36.982936239075165,22.42491065579308,72.68569173439231,2.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,153.0,5.0,13.0,153.0,0.1,43.10205846144097,0.0,0.0,13.246159315109253,,,,,,,,,,,,,,,,,,,,,24.045514450608326,12.191070237526638,40.78781918463615,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,179.0,6.0,26.0,179.0,0.1,79.05669277068282,0.0,0.0,16.139737606048584,,,,,,,,,,,,,,,,,,,,,37.35191466145211,21.80465780567904,70.75318330650472,2.496867579643399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,203.0,7.0,24.0,203.0,0.1,74.63388571578272,0.0,0.0,18.816330432891846,,,,,,,,,,,,,,,,,,,,,36.21883414141783,20.774435448379393,67.28024234449794,2.458035152376488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,303.0,8.0,100.0,303.0,0.1,303.18725482316745,0.0,0.0,28.786696672439575,,,,,,,,,,,,,,,,,,,,,109.26344853502104,56.40791241687637,197.8612450649391,2.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,330.0,9.0,27.0,330.0,0.1,96.4514626342201,0.0,0.0,31.80555534362793,,,,,,,,,,,,,,,,,,,,,46.80530573181407,25.348777523340043,85.51579439509266,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,342.0,10.0,12.0,342.0,0.1,39.30098663280418,0.0,0.0,33.420639514923096,,,,,,,,,,,,,,,,,,,,,22.229974723694543,11.130600473221872,37.37719586364742,3.8124259431834213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
