Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,32.0,1.0,32.0,32.0,0.0,59.22524840567323,59.22524840567323,0.0,0.007419109344482422,,,,,,,,,,,,,,,,,,,,,20.00749353677242,16.502906403517276,51.14447835092115,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,53.0,2.0,21.0,53.0,0.0,23.503254613339422,23.503254613339422,0.0,5.093515872955322,,,,,,,,,,,,,,,,,,,,,6.988559506253606,7.950698955885676,21.955585940240177,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,74.0,3.0,21.0,74.0,0.0,30.523666248168784,30.523666248168784,0.0,9.633308172225952,,,,,,,,,,,,,,,,,,,,,11.931544142320476,9.385899649693188,27.586621498454306,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,102.0,4.0,28.0,102.0,0.0,42.23354656149254,42.23354656149254,0.0,15.557201862335205,,,,,,,,,,,,,,,,,,,,,17.500846087900207,11.97420458595843,35.95371300943024,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,123.0,5.0,21.0,123.0,0.0,39.20837850409573,39.20837850409573,0.0,20.528670072555542,,,,,,,,,,,,,,,,,,,,,14.542212373738565,12.154801973888608,35.690259070182776,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,138.0,6.0,15.0,138.0,0.0,20.880110907215254,20.880110907215254,0.0,24.255919694900513,,,,,,,,,,,,,,,,,,,,,7.3303043545904245,7.189215519176429,19.820961557816386,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,158.0,7.0,20.0,158.0,0.0,21.607154364446835,21.607154364446835,0.0,29.389009714126587,,,,,,,,,,,,,,,,,,,,,5.971548129022991,6.529505631358054,20.4238088337653,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,173.0,8.0,15.0,173.0,0.0,11.040920523358162,11.040920523358162,0.0,33.392964363098145,,,,,,,,,,,,,,,,,,,,,3.1719421202059457,3.748141539241744,10.644163514970064,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,200.0,9.0,27.0,200.0,0.0,35.02409565732681,35.02409565732681,0.0,38.97303247451782,,,,,,,,,,,,,,,,,,,,,14.422948013707366,9.732780907638961,30.078385644335434,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,222.0,10.0,22.0,222.0,0.0,34.2629017706299,34.2629017706299,0.0,43.80251097679138,,,,,,,,,,,,,,,,,,,,,14.508621549589368,10.618462573084752,30.379609533113882,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,249.0,11.0,27.0,249.0,0.0,30.11992802982985,30.11992802982985,0.0,49.48396682739258,,,,,,,,,,,,,,,,,,,,,10.042355805017628,8.474551750122028,26.852301196936494,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,285.0,12.0,36.0,285.0,0.0,86.4624295830078,86.4624295830078,0.0,56.19554424285889,,,,,,,,,,,,,,,,,,,,,31.554724039071385,24.393386768462005,71.55338050648997,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,307.0,13.0,22.0,307.0,0.0,40.50296680545466,40.50296680545466,0.0,60.96949601173401,,,,,,,,,,,,,,,,,,,,,13.586624607615448,13.010772217946629,37.12477073353251,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
